[2025-06-23 19:42:09] [INFO    ] discord.client: logging in using static token
[2025-06-23 19:42:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'DC_BOT_2K25', 'primary_guild': None, 'mfa_enabled': False, 'id': '1385237286752354398', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0231', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '305128c991462cf55e48315bab54e8e9', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1385253186536996875'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['warsaw', 'frankfurt', 'frankfurt-two', 'stockholm', 'rotterdam'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1385237286752354398', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-c-gcz0",{"micros":127395,"calls":["id_created",{"micros":721,"calls":[]},"session_lookup_time",{"micros":2966,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-82",{"micros":123315,"calls":["start_session",{"micros":72792,"calls":["discord-api-rpc-78d5cbf6d9-6mhvp",{"micros":63444,"calls":["get_user",{"micros":7282},"get_guilds",{"micros":10063},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":1},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":1216},"apex_experiments",{"micros":4},"user_activities",{"micros":2},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":26,"calls":[]},"presence_started",{"micros":15612,"calls":[]},"guilds_started",{"micros":60,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":34805,"calls":[]},"connect_finished",{"micros":34809,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-06-23 19:42:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 19:42:11] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 305128c991462cf55e48315bab54e8e9).
[2025-06-23 19:42:11] [DEBUG   ] discord.client: Dispatching event connect
[2025-06-23 19:42:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'system_channel_id': '1385253187145039895', 'vanity_url_code': None, 'discovery_splash': None, 'premium_features': None, 'soundboard_sounds': [], 'voice_states': [], 'presences': [], 'stickers': [], 'max_members': 500000, 'profile': None, 'application_id': None, 'id': '1385253186536996875', 'name': 'BOT TESTING', 'incidents_data': None, 'afk_timeout': 300, 'members': [{'user': {'username': 'DC_BOT_2K25', 'public_flags': 0, 'primary_guild': None, 'id': '1385237286752354398', 'global_name': None, 'display_name': None, 'discriminator': '0231', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1385253387364466701'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-19T13:42:24.414000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'unavailable': False, 'threads': [], 'home_header': None, 'hub_type': None, 'stage_instances': [], 'mfa_level': 0, 'guild_scheduled_events': [], 'description': None, 'nsfw_level': 0, 'max_stage_video_channel_users': 50, 'roles': [{'version': 1750340496565, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1385253186536996875', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750340589947, 'unicode_emoji': None, 'tags': {'bot_id': '1385237286752354398'}, 'position': 1, 'permissions': '563276639759424', 'name': 'DC_BOT_2K25', 'mentionable': False, 'managed': True, 'id': '1385253387364466701', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'banner': None, 'owner_id': '264461087318081536', 'default_message_notifications': 0, 'large': False, 'joined_at': '2025-06-19T13:42:24.414000+00:00', 'premium_progress_bar_enabled': False, 'region': 'deprecated', 'explicit_content_filter': 0, 'preferred_locale': 'en-US', 'premium_tier': 0, 'latest_onboarding_question_id': None, 'member_count': 2, 'features': [], 'splash': None, 'icon': None, 'rules_channel_id': None, 'public_updates_channel_id': None, 'system_channel_flags': 0, 'lazy': True, 'channels': [{'version': 1750340496590, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Kanały tekstowe', 'id': '1385253187145039893', 'flags': 0}, {'version': 1750340496610, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Kanały głosowe', 'id': '1385253187145039894', 'flags': 0}, {'version': 1750340496632, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1385253187145039893', 'name': 'ogólny', 'last_message_id': '1385253388224299160', 'id': '1385253187145039895', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1750340496649, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1385253187145039894', 'name': 'Ogólne', 'last_message_id': None, 'id': '1385253187145039896', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'safety_alerts_channel_id': None, 'embedded_activities': [], 'activity_instances': [], 'premium_subscription_count': 0, 'application_command_counts': {}, 'verification_level': 0, 'afk_channel_id': None, 'nsfw': False, 'version': 1750340496659, 'max_video_channel_users': 25, 'moderator_reporting': None, 'inventory_settings': None, 'emojis': []}}
[2025-06-23 19:42:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 19:42:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'e288230bc923b87b6e4c1c96ffddde7b', 'members': [{'user': {'username': 'majkelito9453', 'public_flags': 0, 'primary_guild': None, 'id': '264461087318081536', 'global_name': 'Majkelito', 'display_name': 'Majkelito', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '282ba0847d6fed38ee9266b2d34bcbc6'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-19T13:41:36.450000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'DC_BOT_2K25', 'public_flags': 0, 'primary_guild': None, 'id': '1385237286752354398', 'global_name': None, 'display_name': None, 'discriminator': '0231', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1385253387364466701'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-19T13:42:24.414000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1385253186536996875', 'chunk_index': 0, 'chunk_count': 1}}
[2025-06-23 19:42:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 19:42:11] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1385253186536996875.
[2025-06-23 19:42:13] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-06-23 19:42:13] [DEBUG   ] discord.client: Dispatching event ready
[2025-06-23 19:42:52] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:42:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:43:33] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:43:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:44:14] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:44:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:44:55] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:44:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:45:37] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:45:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:46:18] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:46:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:46:59] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:46:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:47:40] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:47:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:48:22] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:48:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:49:03] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:49:03] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:49:44] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:49:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:50:25] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:50:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:51:07] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:51:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:51:48] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:51:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:52:29] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:52:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:53:10] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-23 19:53:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:53:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '264461087318081536', 'timestamp': 1750701194, 'member': {'user': {'username': 'majkelito9453', 'public_flags': 0, 'primary_guild': None, 'id': '264461087318081536', 'global_name': 'Majkelito', 'display_name': 'Majkelito', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '282ba0847d6fed38ee9266b2d34bcbc6'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-19T13:41:36.450000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1385253187145039895', 'guild_id': '1385253186536996875'}}
[2025-06-23 19:53:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 19:53:11] [DEBUG   ] discord.client: Dispatching event typing
[2025-06-23 19:53:11] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-06-23 19:53:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-23T17:53:16.929000+00:00', 'pinned': False, 'nonce': '1386766058978803712', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-19T13:41:36.450000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1386766074082754612', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'testing', 'components': [], 'channel_type': 0, 'channel_id': '1385253187145039895', 'author': {'username': 'majkelito9453', 'public_flags': 0, 'primary_guild': None, 'id': '264461087318081536', 'global_name': 'Majkelito', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '282ba0847d6fed38ee9266b2d34bcbc6'}, 'attachments': [], 'guild_id': '1385253186536996875'}}
[2025-06-23 19:53:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 19:53:13] [DEBUG   ] discord.client: Dispatching event message
[2025-06-23 19:53:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-23T17:53:18.023000+00:00', 'pinned': False, 'nonce': '1386766063747727360', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-19T13:41:36.450000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1386766078671061115', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'shit', 'components': [], 'channel_type': 0, 'channel_id': '1385253187145039895', 'author': {'username': 'majkelito9453', 'public_flags': 0, 'primary_guild': None, 'id': '264461087318081536', 'global_name': 'Majkelito', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '282ba0847d6fed38ee9266b2d34bcbc6'}, 'attachments': [], 'guild_id': '1385253186536996875'}}
[2025-06-23 19:53:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 19:53:14] [DEBUG   ] discord.client: Dispatching event message
[2025-06-23 19:53:52] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-06-23 19:53:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:54:33] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-06-23 19:54:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 19:55:14] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-06-23 19:55:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
